Date,Open,High,Low,Close,Adj Close,Volume
2015-12-17,208.400,208.480,204.840,204.860,188.353,173092500
2015-12-18,202.770,202.930,199.830,200.020,184.997,251393500
2015-12-21,201.410,201.880,200.090,201.670,186.523,99094300
2015-12-22,202.720,203.850,201.550,203.500,188.216,111026200
2015-12-23,204.690,206.070,204.580,206.020,190.547,110987200
2015-12-24,205.720,206.330,205.420,205.680,190.232,48539600
2015-12-28,204.860,205.260,203.940,205.210,189.797,65899900
2015-12-29,206.510,207.790,206.470,207.400,191.823,92640700
2015-12-30,207.110,207.210,205.760,205.930,190.463,63317700
2015-12-31,205.130,205.890,203.870,203.870,188.558,114877900
2016-01-04,200.490,201.030,198.590,201.020,185.922,222353500
2016-01-05,201.400,201.900,200.050,201.360,186.237,110845800
2016-01-06,198.340,200.060,197.600,198.820,183.887,152112600
2016-01-07,195.330,197.440,193.590,194.050,179.476,213436100
2016-01-08,195.190,195.850,191.580,191.920,177.506,209817200
2016-01-11,193.010,193.410,189.820,192.110,177.681,187941300
2016-01-12,193.820,194.550,191.140,193.660,179.115,172330500
2016-01-13,194.450,194.860,188.380,188.830,174.648,221168900
2016-01-14,189.550,193.260,187.660,191.930,177.515,240795600
2016-01-15,186.770,188.760,185.520,187.810,173.704,324846400
2016-01-19,189.960,190.110,186.200,188.060,173.935,195244400
2016-01-20,185.030,187.500,181.020,185.650,171.706,286547800
2016-01-21,186.210,188.870,184.640,186.690,172.668,195772900
2016-01-22,189.780,190.760,188.880,190.520,176.211,168319600
2016-01-25,189.920,190.150,187.410,187.640,173.547,130371700
2016-01-26,188.420,190.530,188.020,190.200,175.915,141036800
2016-01-27,189.580,191.560,187.060,188.130,174.000,185681700
2016-01-28,189.960,190.200,187.160,189.110,174.907,143798800
2016-01-29,190.020,193.880,189.880,193.720,179.170,210529300
2016-02-01,192.530,194.580,191.840,193.650,179.106,136061600
2016-02-02,191.960,191.970,189.540,190.160,175.878,182564900
2016-02-03,191.410,191.780,187.100,191.300,176.932,205054900
2016-02-04,190.710,192.750,189.960,191.600,177.210,139531800
2016-02-05,190.990,191.670,187.200,187.950,173.834,180788300
2016-02-08,185.770,186.120,182.800,185.420,171.494,191526700
2016-02-09,183.360,186.940,183.200,185.430,171.503,184513100
2016-02-10,186.410,188.340,185.120,185.270,171.355,148214100
2016-02-11,182.340,184.100,181.090,182.860,169.126,219058900
2016-02-12,184.960,186.650,183.960,186.630,172.613,127632400
2016-02-16,188.770,189.810,187.630,189.780,175.526,120250700
2016-02-17,191.160,193.320,191.010,192.880,178.393,136009500
2016-02-18,193.200,193.270,191.720,192.090,177.663,102343000
2016-02-19,191.170,192.180,190.450,192.000,177.579,114793000
2016-02-22,193.870,194.950,193.790,194.780,180.151,103640300
2016-02-23,194.000,194.320,192.180,192.320,177.875,111455300
2016-02-24,190.630,193.530,189.320,193.200,178.689,150812200
